aardvark,Aardvark
abseil,rappel
abseiled,rappel
abseiler,abseiler
abseiling,descente en rappel
abseils,rappels
absence,absence
absences,absences
absent,absent
absented,absent
absentee,absent
absenteeism,absentéisme
absentees,absents
absenting,absent
absently,distraitement
absentminded,distrait
absentmindedly,distraitement
absentmindedness,distraction
absolute,absolu
absolutely,absolument
absoluteness,absolu
absolutes,absolus
absolution,absolution
absolutism,absolutisme
absolutist,absolutiste
absolutists,absolutistes
absolve,absoudre
absolved,absous
absolves,absoudre
absolving,absoudre
absorb,absorber
absorbed,absorbé
absorbency,absorption
absorbent,absorbant
absorber,absorbeur
absorbers,absorbeurs
absorbing,absorbant
absorbingly,absorbant
absorbs,absorbe
absorption,absorption
absorptions,absorptions
absorptive,absorbant
absorptivity,absorptivité
abstain,abstention
abstained,s'est abstenu
abstainer,abstentionniste
abstainers,abstinents
abstaining,s'abstenir
abstains,s'abstenir
abstemious,sobre
abstemiously,abstentiellement
abstemiousness,abstinence
abstention,abstention
abstentions,abstentions
abstinence,abstinence
abstinent,abstinent
abstract,abstrait
abstracted,distrait
abstractedly,distraitement
abstracting,abstraction
abstraction,abstraction
abstractions,abstractions
abstractly,abstraitement
abstracts,résumés
abstruse,abstrus
abstrusely,abstrusement
absurd,absurde
absurder,absurde
absurdest,absurde
absurdist,absurde
absurdities,absurdités
absurdity,absurdité
absurdly,absurdement
abundance,abondance
abundances,abondances
abundant,abondant
abundantly,abondamment
abuse,abuser de
abused,abusé
abuser,agresseur
abusers,abuseurs
abuses,les abus
abusing,abuser
abusive,injurieux
abusively,abusivement
abusiveness,abusivité
abut,abut
abutment,butée
abutments,piliers
abutted,abouti
abutting,attenante
abuzz,énervé
aby,aby
abysmal,épouvantable
abysmally,abysmalement
abyss,abîme
abyssal,abyssal
abysses,abysses
acacia,acacia
academe,université
academia,académie
academic,académique
academical,académique
academically,académiquement
academician,académicien
academicians,académiciens
academics,universitaires
academies,Académies
academy,académie
acanthus,acanthe
acapulco,Acapulco
accede,adhérer
acceded,accédé
acceding,accédant
accelerate,accélérer
accelerated,accéléré
accelerates,accélère
accelerating,accélérer
acceleration,accélération
accelerations,accélérations
accelerator,accélérateur
accelerators,accélérateurs
accelerometer,accéléromètre
accelerometers,accéléromètres
accent,accent
accented,accentué
accenting,accentuer
accents,accents
accentuate,accentuer
accentuated,accentué
accentuates,accentue
accentuating,accentuer
accentuation,accentuation
"accept                       ,",Acceptez
acceptability,acceptabilité
acceptable,acceptable
acceptably,acceptable
acceptance,acceptation
acceptances,acceptations
accepted,accepté
accepting,acceptant
acceptor,accepteur
acceptors,accepteurs
accepts,accepte
access,accès
accessed,accédé
accesses,accès
accessibility,accessibilité
accessible,accessible
accessing,accéder
accession,accession
accessions,accessions
accessories,accessoires
accessory,accessoire
accidence,accident
accident,accident
accidental,accidentel
accidentally,accidentellement
accidentprone,accidentprone
accidents,les accidents
acclaim,acclamer
acclaimed,acclamé
acclaims,acclamations
acclamation,acclamation
acclamations,acclamations
acclimatisation,acclimatation
acclimatise,s'acclimater
acclimatised,acclimaté
acclimatising,acclimatation
accolade,accolade
accolades,accolades
accommodate,accommoder
accommodated,accommodé
accommodates,accueille
accommodating,accommodant
accommodation,hébergement
accommodations,hébergement
accompanied,accompagné
accompanies,accompagne
accompaniment,accompagnement
accompaniments,accompagnements
accompanist,accompagnateur
accompany,accompagner
accompanying,accompagnement
accomplice,complice
accomplices,complices
accomplish,accomplir
accomplished,accompli
accomplishes,accomplit
accomplishing,accomplir
accomplishment,accomplissement
accomplishments,réalisations
accord,accord
accordance,conformité
accorded,accordé
according,selon
accordingly,en conséquence
accordion,accordéon
accordionist,accordéoniste
accordions,accordéons
accords,accords
accost,accoster
accosted,accosté
accosting,accostage
accosts,accueils
account,Compte
accountability,responsabilité
accountable,responsable
accountancy,comptabilité
accountant,comptable
accountants,comptables
accounted,comptabilisé
accounting,comptabilité
accounts,comptes
accra,accra
accredit,accréditer
accreditation,accréditation
accredited,accrédité
accrediting,accréditer
accredits,accrédites
accreted,accrété
accretion,accumulation
accretions,accrétions
accrual,accumulation
accruals,comptes de régularisation
accrue,accumuler
accrued,cumulé
accrues,accumule
accruing,accumuler
accumulate,accumuler
accumulated,accumulé
accumulates,accumule
accumulating,accumuler
accumulation,accumulation
accumulations,accumulations
accumulative,cumulatif
accumulator,accumulateur
accumulators,accumulateurs
accuracies,précisions
accuracy,précision
accurate,précis
accurately,avec précision
accursed,maudit
accusal,accusal
accusals,accusés
accusation,accusation
accusations,accusations
accusative,accusatif
accusatory,accusatoire
accuse,accuser
accused,accusé
accuser,accusateur
accusers,accusateurs
accuses,accuse
accusing,accuser
accusingly,accusativement
accustom,habituer
accustomed,habitué
accustoming,accoutumer
ace,as
aced,aced
acentric,acentrique
acerbic,acerbe
acerbity,aigreur
acers,acers
aces,aces
acetal,acétal
acetate,acétate
acetates,acétates
acetic,acétique
acetone,acétone
acetylene,acétylène
ache,mal
ached,douloureux
aches,douleurs
achievable,réalisable
"achieve                    ,",atteindre
achieved,atteint
achievement,réussite
achievements,réalisations
achiever,accomplisseur
achievers,performants
achieves,réalise
achieving,atteindre
aching,douloureux
achingly,douloureusement
achings,douleurs
achromatic,achromatique
achy,achy
acid,acide
acidic,acide
acidification,acidification
acidified,acidifié
acidify,acidifier
acidifying,acidifiant
acidity,acidité
acidly,acide
acidophiles,acidophiles
acidrain,pluie acide
acids,les acides
acknowledge,reconnaître
acknowledged,reconnu
acknowledgement,reconnaissance
acknowledgements,remerciements
acknowledges,reconnaît
acknowledging,reconnaissant
acknowledgment,reconnaissance
acknowledgments,remerciements
acme,acmé
acne,acné
acolyte,acolyte
acolytes,acolytes
aconite,aconit
acorn,gland
acorns,des glands
acoustic,acoustique
acoustical,acoustique
acoustically,acoustiquement
acoustics,acoustique
acquaint,informer
acquaintance,connaissance
acquaintances,des connaissances
acquainted,connaissance
acquainting,faire connaissance
acquaints,connaissances
acquiesce,acquiescer
acquiesced,acquiescé
acquiescence,consentement
acquiescent,consentant
acquiescing,acquiescer
acquire,acquérir
acquired,acquis
acquirer,acquéreur
acquirers,acquéreurs
acquires,acquiert
acquiring,acquérir
acquisition,acquisition
acquisitions,les acquisitions
acquisitive,avide
acquisitiveness,l'acquisition
acquit,acquitter
acquited,acquitté
acquites,acquiert
acquits,acquitte
acquittal,acquittement
acquittals,acquittements
acquittance,acquittement
acquitted,acquitté
acquitting,acquitter
acre,acre
acreage,superficie
acres,acres
acrid,âcre
acrimonious,acrimonieux
acrimoniously,acrimonieusement
acrimony,acrimonie
acrobat,acrobate
acrobatic,acrobatique
acrobatics,acrobaties
acrobats,acrobates
acronym,acronyme
acronyms,acronymes
across,à travers
acrostic,acrostiche
acrostics,acrostiches
acrylic,acrylique
acrylics,acrylique
act,acte
acted,agi
acting,agissant
actings,actes
actinides,actinides
action,action
actionable,actionable
actions,actes
activate,Activer
activated,activé
activates,active
activating,activer
activation,Activation
activations,activations
activator,activateur
activators,activateurs
active,actif
actively,activement
actives,actifs
activism,activisme
activist,activiste
activists,militants
activities,Activités
activity,activité
actor,acteur
actors,acteurs
actress,actrice
actresses,actrices
acts,actes
actual,réel
actualisation,actualisation
actualise,actualiser
actualised,actualisé
actualities,actualités
actuality,actualité
actually,réellement
actuarial,actuariel
actuaries,actuaires
actuary,actuaire
actuate,actionner
actuated,actionné
actuates,actionne
actuating,actionnant
actuation,actionnement
actuator,actuateur
actuators,actionneurs
acuity,acuité
acumen,perspicacité
acupuncture,acupuncture
acupuncturist,acupuncteur
acupuncturists,acupuncteurs
acute,aigu
acutely,intensément
acuteness,acuité
acuter,acuter
acutest,acutest
acyclic,acyclique
adage,adage
adages,adages
adagio,adagio
adam,Adam
adamant,catégorique
adamantly,catégoriquement
adapt,adapter
adaptability,adaptabilité
adaptable,adaptable
adaptation,adaptation
adaptations,adaptations
adapted,adapté
adapter,adaptateur
adapters,adaptateurs
adapting,adapter
adaptive,adaptatif
adaptively,adaptativement
adaptivity,adaptation
adaptor,adaptateur
adaptors,adaptateurs
adapts,adapte
add,ajouter
added,ajoutée
addenda,addenda
addendum,Addenda
adder,additionneur
adders,additionneurs
addict,toxicomane
addicted,intoxiqué
addiction,dépendance
addictions,addictions
addictive,addictif
addictiveness,dépendance
addicts,toxicomanes
adding,ajouter
addition,une addition
additional,supplémentaire
additionally,en plus
additions,ajouts
additive,additif
additively,additivement
additives,additifs
addle,pourri
addled,pourri
addles,addles
addling,addling
address,adresse
addressability,adressabilité
addressable,adressable
addressed,adressé
addressee,destinataire
addressees,destinataires
addresses,adresses
addressing,adresser
adds,ajoute
adduce,apporter
adduced,présenté
adduces,des adduits
adducing,donner
adelaide,Adélaïde
aden,aden
adenine,adénine
adenoid,adénoïde
adenoids,végétations adénoïdes
adenoma,adénome
adenomas,adénomes
adept,expert
adepts,adeptes
adequacy,adéquation
adequate,adéquat
adequately,adéquatement
adhere,adhérer
adhered,adhéré
adherence,adhérence
adherent,adhérent
adherents,adhérents
adherer,adhérent
adherers,adhérents
adheres,adhère
adhering,adhérant
adhesion,adhésion
adhesions,adhérences
adhesive,adhésif
adhesiveness,adhésivité
adhesives,adhésifs
adhoc,ad hoc
adiabatic,adiabatique
adiabatically,adiabatiquement
adieu,Adieu
adieus,adieu
adieux,adieux
"adios             ,",adios
adipose,adipeux
adit,adit
adjacency,proximité
adjacent,adjacent
adjacently,adjacente
adjectival,adjectival
adjective,adjectif
adjectives,adjectifs
adjoin,adjoindre
adjoined,attenant
adjoining,attenant
adjoins,jouxte
adjourn,ajourner
adjourned,ajourné
adjourning,ajournement
adjournment,ajournement
adjourns,ajourne
adjudge,prononcer
adjudged,jugé
adjudges,juger
adjudicate,juger
adjudicated,jugé
adjudicates,juger
adjudicating,juger
adjudication,arbitrage
adjudications,les adjudications
adjudicator,arbitre
adjudicators,arbitres
adjunct,auxiliaire
adjuncts,adjoints
adjure,adjurer
adjust,régler
adjustable,Ajustable
adjusted,ajusté
adjuster,ajusteur
adjusting,ajuster
adjustment,ajustement
adjustments,ajustements
adjusts,ajuste
adjutant,adjudant
adlib,adlib
adlibs,adlibs
adman,adman
admen,admettre
admin,administrateur
administer,administrer
administered,administré
administering,administrer
administers,administre
administrate,administrer
administrated,administré
administrating,administrer
administration,administration
administrations,administrations
administrative,administratif
administratively,administrativement
administrator,administrateur
administrators,administrateurs
admirable,admirable
admirably,admirablement
admiral,amiral
admirals,amiraux
admiration,admiration
admire,admirer
admired,admiré
admirer,admirateur
admirers,admirateurs
admires,admire
admiring,admiratif
admiringly,admiratif
admissibility,admissibilité
admissible,admissible
admission,admission
admissions,admissions
admit,admettre
admits,admet
admittance,admission
admittances,admittances
admitted,admis
admittedly,certes
admitting,admettant
admix,mélanger
admixture,mélange
admonish,avertir
admonished,admonesté
admonishes,admoneste
admonishing,admonestant
admonishment,admonestation
admonition,admonition
admonitions,admonitions
admonitory,admonitoire
ado,ado
adobe,adobe
adolescence,adolescence
adolescent,adolescent
adolescents,adolescents
adonis,Adonis
adopt,adopter
adopted,adopté
adopter,adopteur
adopting,adopter
adoption,adoption
adoptions,adoptions
adoptive,adoptif
adopts,adopte
adorable,adorable
adorably,adorablement
adoration,adoration
adore,adorer
adored,adoré
adorer,adorateur
adorers,adorateurs
adores,adore
adoring,adorer
adoringly,adorément
adorn,orner
adorned,orné
adorning,ornement
adornment,ornement
adornments,ornements
adorns,orne
adrenal,surrénal
adrenalin,adrénaline
adrenaline,adrénaline
adrift,à la dérive
adroit,adroit
adroitly,adroitement
adroitness,habileté
adsorb,adsorber
adsorbed,adsorbé
adsorption,adsorption
adulation,adulation
adulatory,adulatoire
adult,adulte
adulterate,falsifier
adulterated,frelaté
adulterates,adultères
adulterating,adultère
adulteration,falsification
adulterations,adultérations
adulterer,adultère
adulterers,adultères
adulteress,femme adultère
adulteresses,adultères
adulterous,adultère
adultery,adultère
adulthood,l'âge adulte
adults,adultes
adumbrate,esquisser
adumbrated,adumbrated
adumbrating,encombrant
advance,avance
advanced,Avancée
advancement,avancement
advancements,les progrès
advancer,avancer
advances,avances
advancing,avancer
advantage,avantage
advantaged,avantagé
advantageous,avantageux
advantageously,avantageusement
advantages,avantages
"advent           ,",avènement
advents,advents
adventure,aventure
adventured,aventuré
adventurer,aventurier
adventurers,aventuriers
adventures,aventures
adventuring,aventure
adventurism,aventurisme
adventurous,aventureux
adventurously,aventureusement
adverb,adverbe
adverbial,adverbial
adverbs,les adverbes
adversarial,contradictoire
adversaries,adversaires
adversary,adversaire
adverse,négatif
adversely,défavorablement
adversities,adversités
adversity,adversité
advert,publicité
adverted,annoncé
advertise,afficher
advertised,annoncé
advertisement,publicité
advertisements,annonces
advertiser,annonceur
advertisers,annonceurs
advertises,annonce
advertising,La publicité
adverts,Annonces
advice,Conseil
advices,conseils
advisability,opportunité
advisable,conseillé
advise,conseiller
advised,informé
advisedly,délibérément
adviser,conseiller
advisers,conseillers
advises,conseille
advising,conseiller
advisory,consultatif
advocacy,plaidoyer
advocate,avocat
advocated,préconisé
advocates,avocats
advocating,défendre
adze,herminette
aegean,égéen
aegina,Egine
aegis,égide
aeolian,éolienne
aeon,temps infini
aeons,éons
aerate,aérer
aerated,aéré
aerates,aérer
aerating,aération
aeration,aération
aerator,aérateur
aerial,aérien
aerially,aérien
aerials,antennes
aerify,aérer
aerobatic,acrobatique
aerobatics,acrobaties aériennes
aerobe,aérobie
aerobes,aérobies
aerobic,aérobique
aerobically,aérobiquement
aerobics,aérobie
aerobraking,aerobraking
aerodrome,aérodrome
aerodromes,aérodromes
aerodynamic,aérodynamique
aerodynamically,aérodynamiquement
aerodynamics,aérodynamique
aerofoil,aérofoil
aerofoils,aérofoils
aeronaut,aéronaute
aeronautic,aéronautique
aeronautical,aéronautique
aeronautics,aéronautiques
aeroplane,avion
aeroplanes,avions
aerosol,aérosol
aerosols,aérosols
aerospace,aérospatial
aesop,Ésope
aesthete,esthète
aesthetes,esthètes
aesthetic,esthétique
aesthetically,esthétiquement
aestheticism,esthétisme
aestheticsy,esthétique
afar,au loin
affability,affabilité
affable,affable
affably,affablement
affair,affaire
affairs,affaires
affect,affecter
affectation,affectation
affectations,affectations
affected,affecté
affectedly,affectueusement
affecting,affectant
affection,affection
affectionate,affectueux
affectionately,affectueusement
affections,affections
affective,affectif
affects,affecte
afferent,afférent
affidavit,affidavit
affidavits,affidavits
affiliate,filiale
affiliated,affilié
affiliates,affiliés
affiliating,affiliation
affiliation,affiliation
affiliations,affiliations
affine,affine
affinities,affinités
affinity,affinité
affirm,affirmer
affirmation,affirmation
affirmations,affirmations
affirmative,affirmative
affirmatively,affirmativement
affirmed,affirmé
affirming,affirmant
affirms,affirme
affix,affixe
affixed,apposé
affixes,affixes
affixing,apposer
afflict,affliger
afflicted,affligé
afflicting,affligeant
affliction,affliction
afflictions,afflictions
afflicts,afflige
affluence,richesse
affluent,affluent
afflux,afflux
afford,offrir
affordability,abordabilité
affordable,abordable
afforded,accordé
affording,offrant
affords,offre
afforestation,boisement
afforested,boisé
affray,rixe
affront,affront
affronted,affronté
affronts,affronts
afghan,afghan
afghani,afghani
afghans,afghans
afield,un champ
afire,un feu
aflame,en flammes
afloat,à flot
afoot,à pied
aforementioned,susmentionné
aforesaid,précité
aforethought,prémédité
afraid,peur
afresh,de nouveau
africa,Afrique
african,africain
africans,Africains
afro,Afro
afros,afros
aft,à l'arrière
after,après
afterbirth,placenta
aftercare,suivi
aftereffect,répercussion
aftereffects,effets secondaires
afterglow,rémanence
afterlife,vie après la mort
afterlives,après-vies
aftermath,conséquences
afternoon,après midi
afternoons,les après-midi
aftershave,après-rasage
aftershocks,répliques
aftertaste,arrière-goût
afterthought,après-coup
afterthoughts,après-pensées
afterward,après
afterwards,ensuite
aga,aga
again,encore
against,contre
agakhan,agakhan
agape,bouche bée
agar,gélose
agaragar,agaragar
agave,agave
agaves,agaves
age,âge
aged,vieilli
ageing,vieillissement
ageings,épisodes
ageism,âgisme
ageless,sans âge
agencies,agences
agency,agence
agenda,ordre du jour
agendas,agendas
agendums,agendas
agent,agent
agents,agents
ageold,ageold
ages,âge
agglomerated,aggloméré
agglomerating,agglomération
agglomeration,une agglomération
agglomerations,agglomérations
agglutinative,agglutinant
aggravate,aggraver
aggravated,aggravé
aggravates,aggrave
aggravating,aggravant
aggravation,aggravation
aggravations,aggravations
aggregate,agrégat
aggregated,agrégé
aggregates,agrégats
aggregating,agréger
aggregation,agrégation
aggregations,agrégations
aggression,agression
aggressions,agressions
aggressive,agressif
aggressively,agressivement
aggressiveness,agressivité
"aggressor                        ,",agresseur
aggressors,agresseurs
aggrieved,lésé
aggrievedly,agressivement
aghast,atterré
agile,agile
agiler,agiler
agility,agilité
aging,vieillissement
agings,agings
agio,agio
agitate,agiter
agitated,agité
agitatedly,agité
agitates,agite
agitating,agitation
agitation,agitation
agitations,agitations
agitator,agitateur
agitators,agitateurs
agitprop,agitprop
agleam,rayonnant
aglow,embrasé
agnostic,agnostique
agnosticism,agnosticisme
agnostics,agnostiques
ago,depuis
agog,agog
agonies,agonies
agonise,tourmenter
agonised,angoissé
agonises,agonises
agonising,angoissant
agonisingly,agonisant
agonist,agoniste
agonists,agonistes
agony,agonie
agora,agora
agoraphobia,agoraphobie
agoraphobic,agoraphobe
agouti,agouti
agrarian,agraire
agree,se mettre d'accord
agreeable,agréable
agreeableness,agréabilité
agreeably,agréablement
agreed,D'accord
agreeing,d'accord
agreement,accord
agreements,les accords
agrees,accepte
agribusiness,secteur agroalimentaire
agricultural,agricole
agriculturalist,agronome
agriculturalists,agronomes
agriculturally,agricole
agriculture,agriculture
agrimony,aigremoine
agrochemical,agrochimique
agrochemicals,produits agrochimiques
agronomist,agronome
agronomists,agronomes
agronomy,agronomie
aground,échoué
ague,fièvre
ah,ah
aha,aha
ahead,devant
ahem,ahem
ahoy,ahoy
aid,aide
aide,aide
aided,aidé
aidedecamp,aidedecamp
aider,aider
aiders,aidants
aides,aides
aidesdecamp,aidesdecamp
aiding,aider
aids,sida
ail,tous
aileron,aileron
ailerons,ailerons
ailing,malade
ailment,maladie
ailments,maux
ails,des maux
aim,objectif
aimed,visé
aimer,aimer
aiming,visée
aimless,sans but
aimlessly,sans but
aimlessness,sans but
aims,objectifs
aint,aint
air,air
airbase,base aérienne
airborne,aéroporté
airbrush,aérographe
airbus,Airbus
airconditioned,climatisé
airconditioner,climatisation
airconditioning,air conditionné
aircraft,avion
aircrew,l'équipage de l'air
aircrews,équipages
aire,aire
aired,aéré
airfield,aérodrome
airfields,aérodromes
airflow,flux d'air
airforce,armée de l'air
airframe,cellule
airframes,cellules
airgun,pistolet à air
airier,airier
airiest,le plus aérien
airily,avec désinvolture
airiness,légèreté
airing,aération
airings,aérations
airless,airless
airlift,transport aérien
airlifted,aéroporté
airlifting,vol à l'air
airlifts,ponts aériens
airline,Compagnie aérienne
airliner,avion de ligne
airliners,avions de ligne
airlines,compagnies aériennes
airlock,airlock
airlocks,airlocks
airmail,poste aérienne
airman,aviateur
airmen,aviateurs
airplane,avion
airplay,airplay
airport,aéroport
airports,aéroports
airraid,raid aérien
airs,airs
airship,dirigeable
airships,dirigeables
airsick,airsick
airsickness,mal de l'air
airspace,espace aérien
airstream,airstream
airstrip,bande d'atterrissage
airstrips,bandes d'atterrissage
airtight,hermétique
airtime,temps d'antenne
airwave,airwave
airwaves,ondes
airway,voie aérienne
airways,voies respiratoires
airworthiness,navigabilité
airworthy,navigable
airy,aéré
aisle,rayon
aisles,les allées
aitches,etches
ajar,entrouvert
akimbo,akimbo
akin,proche
ala,Ala
alabama,Alabama
alabaster,albâtre
alacarte,à la carte
alack,un manque
alacrity,empressement
aladdin,aladdin
alanine,alanine
alarm,alarme
alarmed,alarmé
alarming,alarmant
alarmingly,alarmant
alarmism,alarmisme
alarmist,alarmiste
alarms,alarmes
alas,Hélas
alaska,Alaska
alaskan,l'Alaska
alb,alb
albania,Albanie
albany,albany
albatross,albatros
albatrosses,albatros
albeit,quoique
albinism,albinisme
albino,albinos
album,album
albumen,albumen
albumin,albumine
albums,albums
alchemical,alchimique
alchemist,alchimiste
alchemists,alchimistes
alchemy,alchimie
alcohol,de l'alcool
alcoholic,alcoolique
alcoholics,alcooliques
alcoholism,alcoolisme
alcohols,alcools
alcove,alcôve
alcoves,alcôves
aldehyde,aldéhyde
aldehydes,aldéhydes
alder,aulne
alderman,échevin
aldermen,échevins
aldrin,aldrin
ale,ale
alehouse,alehouse
alembic,alambic
alert,alerte
alerted,alerté
alerting,alerte
alertly,alerte
alertness,vigilance
alerts,alertes
ales,ales
alfalfa,luzerne
alfatah,alfatah
alga,algue
algae,algues
algal,algal
algebra,algèbre
algebraic,algébrique
algebraical,algébrique
algebraically,algébriquement
algebraist,algébriste
algebras,algèbres
algeria,Algérie
algerian,algérien
algiers,alger
algorithm,algorithme
algorithmic,algorithmique
algorithmically,algorithmiquement
algorithms,algorithmes
alias,alias
aliases,alias
alibaba,alibaba
alibi,alibi
alibis,alibis
alien,extraterrestre
alienate,aliéner
alienated,aliéné
alienates,aliène
alienating,s'aliéner
alienation,aliénation
aliened,aliéné
aliening,aliéner
aliens,extraterrestres
alight,une lumière
alighted,abattu
alighting,se poser
alights,des allées
"align                    ,",aligner
aligned,aligné
aligning,aligner
alignment,alignement
alignments,alignements
aligns,aligne
alike,ressemblent
alimentary,alimentaire
alimony,pension
aline,une ligne
alined,aligné
alines,alines
alining,Alining
aliphatic,aliphatique
aliquot,aliquote
aliquots,aliquotes
alive,vivant
alkali,alcali
alkalic,alcalin
alkaline,alcalin
alkalinity,alcalinité
alkalis,alcalis
alkalise,alcaliniser
alkaloid,alcaloïde
alkaloids,alcaloïdes
alkanes,alcanes
alkyl,alkyle
all,tout
allay,allay
allayed,apaisé
allaying,apaiser
allays,allays
allegation,allégation
allegations,allégations
allege,alléguer
alleged,allégué
allegedly,prétendument
alleges,allègue
allegiance,allégeance
allegiances,allégeances
alleging,alléguant
allegorical,allégorique
allegorically,allégoriquement
allegories,allégories
allegory,allégorie
allegri,allegri
allegro,allegro
allele,allèle
alleles,allèles
allelic,allélique
allergen,allergène
allergens,allergènes
allergic,allergique
allergies,allergies
allergy,allergie
alleviate,soulager
alleviated,allégé
alleviates,soulage
alleviating,apaisant
alleviation,allégement
alleviations,allègements
alley,ruelle
alleys,allées
alleyway,ruelle
alleyways,ruelles
alliance,Alliance
alliances,alliances
allied,allié
allies,des alliés
alligator,alligator
alligators,alligators
alliterate,allitération
alliterated,allité
alliterating,alliterating
alliteration,allitération
alliterations,allitérations
alliterative,allitérative
allocatable,allouable
allocate,allouer
allocated,alloué
allocates,alloue
allocating,allouer
allocation,allocation
allocations,allocations
allocator,allocateur
allocators,allocateurs
allophones,allophones
allot,attribuer
allotment,attribution
allotments,allotissements
allotrope,allotrope
allotropic,allotropique
allots,allots
allotted,attribué
allotting,attribuer
allow,permettre
allowable,admissible
allowance,allocation
allowances,indemnités
allowed,permis
allowing,en permettant
allows,permet
alloy,alliage
alloyed,allié
alloying,alliage
alloys,alliages
allude,faire allusion
alluded,allusion
alludes,allusions
alluding,allusion
allure,séduire
allured,séduit
allurement,séduction
allurements,allurements
allures,allures
alluring,séduisant
alluringly,séduisant
allusion,allusion
allusions,allusions
allusive,allusif
alluvia,alluvions
alluvial,alluvial
alluvium,alluvion
ally,allié
allying,s'allier
almanac,almanach
almanacs,almanachs
almighty,tout-puissant
almond,amande
almonds,amandes
almost,presque
alms,aumône
almshouse,maison de charité
almshouses,almshouses
aloe,aloès
aloes,aloès
aloft,en haut
aloha,aloha
alone,seul
aloneness,solitude
along,le long de
alongside,aux côtés de
aloof,distant
aloofness,réserve
aloud,à haute voix
alp,alp
alpaca,alpaga
alpacas,alpagas
alpha,alpha
alphabet,alphabet
alphabetic,alphabétique
alphabetical,alphabétique
alphabetically,alphabétiquement
alphabets,alphabets
alphanumeric,alphanumérique
alphas,alphas
alpine,alpin
alps,Alpes
already,déjà
alright,bien
also,aussi
alt,alt
altar,autel
altarpiece,retable
altarpieces,retables
altars,autels
alter,modifier
alterable,modifiable
alteration,altération
alterations,altérations
altercate,altérer
altercation,altercation
altercations,altercations
altered,altéré
alterego,alter égo
altering,altérer
alternate,alterner
alternated,alterné
alternately,alternativement
alternates,alterne
alternating,en alternance
alternation,alternance
alternations,alternances
alternative,alternative
alternatively,alternativement
alternatives,alternatives
alternator,alternateur
alternators,alternateurs
alters,altère
although,bien que
altimeter,altimètre
altimeters,altimètres
altitude,altitude
altitudes,altitudes
alto,alto
altogether,tout à fait
altruism,altruisme
altruist,altruiste
altruistic,altruiste
altruistically,altruiste
alts,alts
alum,alun
aluminium,aluminium
aluminum,aluminium
alumni,alumni
alumnus,ancien élève
alveolar,alvéolaire
alveoli,alvéoles
always,toujours
am,un m
