a,een
absolves,vrijspreekt
absolving,vrijspreken
absorb,absorberen
absorbed,geabsorbeerd
absorbency,absorptievermogen
absorbent,absorbens
absorber,schokdemper
absorbers,absorbers
absorbing,absorberen
absorbingly,absorbingly
absorbs,absorbeert
absorption,absorptie
absorptions,absorptie
absorptive,absorberende
absorptivity,absorptievermogen
abstain,zich onthouden
abstained,onthielden zich van stemming
abstainer,geheelonthouder
abstainers,geheelonthouders
abstaining,zich onthouden
abstains,onthoudt
abstemious,nuchter
abstemiously,abstemiously
abstemiousness,onthouding
abstention,onthouding
abstentions,onthoudingen
abstinence,onthouding
abstinent,abstinent
abstract,abstract
abstracted,afgetrokken
abstractedly,afgetrokken
abstracting,abstraheren
abstraction,abstractie
abstractions,abstracties
abstractly,abstract
abstracts,abstracts
abstruse,diepzinnig
abstrusely,abstrusely
absurd,absurd
absurder,absurder
absurdest,absurdest
absurdist,absurdistische
absurdities,absurditeiten
absurdity,absurditeit
absurdly,belachelijk
abundance,overvloed
abundances,abundances
abundant,overvloedig
abundantly,overvloedig
abuse,misbruik
abused,misbruikt
abuser,misbruiker
abusers,misbruikers
abuses,misbruiken
abusing,misbruik maken van
abusive,beledigend
abusively,misbruik
abusiveness,abusiveness
abut,aanliggen
abutment,aanrakingspunt
abutments,landhoofden
abutted,aanligt
abutting,aangrenzende
abuzz,zoemend
aby,aby
abysmal,onpeilbaar
abysmally,geblunderd
abyss,afgrond
abyssal,diepzee
abysses,afgronden
acacia,acacia
academe,academe
academia,academia
academic,academische
academical,academisch
academically,academisch
academician,academicus
academicians,academici
academics,academici
academies,academies
academy,academie
acanthus,acanthus
acapulco,Acapulco
accede,toetreden
acceded,toegetreden
acceding,toetredende
accelerate,versnellen
accelerated,versneld
accelerates,versnelt
accelerating,versnellen
acceleration,versnelling
accelerations,versnellingen
accelerator,gaspedaal
accelerators,versnellers
accelerometer,accelerometer
accelerometers,accelerometers
accent,accent
accented,geaccentueerde
accenting,accentueren
accents,accenten
accentuate,accentueren
accentuated,geaccentueerd
accentuates,accentueert
accentuating,accentueren
accentuation,klemtoon
accept,accepteren
acceptability,aannemelijkheid
acceptable,aanvaardbaar
acceptably,aanvaardbaar
acceptance,aanvaarding
acceptances,aanvaardingen
accepted,aanvaard
accepting,aanvaarden
acceptor,acceptant
acceptors,acceptoren
accepts,accepteert
access,toegang
accessed,toegankelijk
accesses,toegangen
accessibility,toegankelijkheid
accessible,beschikbaar
accessing,toegang
accession,toetreding
accessions,toetredingen
accessories,accessoires
accessory,medeplichtig
accidence,morfologie
accident,ongeval
accidental,onopzettelijk
accidentally,per ongeluk
accidentprone,accidentprone
accidents,ongevallen
acclaim,bijval
acclaimed,geprezen
acclaims,bejubelt
acclamation,acclamatie
acclamations,acclamations
acclimatisation,acclimatisatie
acclimatise,acclimatiseren
acclimatised,geacclimatiseerde
acclimatising,acclimatising
accolade,accolade
accolades,onderscheidingen
accommodate,accommoderen
accommodated,ondergebracht
accommodates,herbergt
accommodating,meegaand
accommodation,accommodatie
accommodations,accommodaties
accompanied,vergezeld
accompanies,begeleidt
accompaniment,begeleiding
accompaniments,begeleidingen
accompanist,begeleider
accompany,begeleiden
accompanying,begeleidend
accomplice,medeplichtige
accomplices,medeplichtigen
accomplish,bereiken
accomplished,volbracht
accomplishes,volbrengt
accomplishing,volbrengen
accomplishment,prestatie
accomplishments,prestaties
accord,overeenstemming
accordance,overeenstemming
accorded,toegekend
according,volgens
accordingly,overeenkomstig
accordion,accordeon
accordionist,accordeonist
accordions,accordeons
accords,akkoorden
accost,aanklampen
accosted,aangeklampt
accosting,accosting
accosts,accosts
account,account
accountability,verantwoording
accountable,verantwoordelijk
accountancy,boekhouding
accountant,accountant
accountants,accountants
accounted,goed
accounting,accounting
accounts,rekeningen
accra,accra
accredit,accrediteren
accreditation,accreditatie
accredited,geaccrediteerd
accrediting,accrediteren
accredits,accrediteert
accreted,accreted
accretion,aanwas
accretions,aanwassen
accrual,opbouwpercentage
accruals,overlopende posten
accrue,toenemen
accrued,opgebouwde
accrues,toekomt
accruing,toekomende
accumulate,accumuleren
accumulated,geaccumuleerd
accumulates,accumuleert
accumulating,accumuleren
accumulation,ophoping
accumulations,ophopingen
accumulative,accumulerend
accumulator,accumulator
accumulators,accumulatoren
accuracies,nauwkeurigheden
accuracy,nauwkeurigheid
accurate,accuraat
accurately,nauwkeurig
accursed,vervloekt
accusal,accusal
accusals,accusals
accusation,beschuldiging
accusations,beschuldigingen
accusative,accusatief
accusatory,beschuldigend
accuse,beschuldigen
accused,verdachte
accuser,aanklager
accusers,beschuldigers
accuses,beschuldigt
accusing,beschuldigen
accusingly,beschuldigend
accustom,gewennen
accustomed,gebruikelijk
accustoming,gewennen
ace,aas
aced,Aced
acentric,acentrisch
acerbic,acerbic
acerbity,scherpte
acers,acers
aces,azen
acetal,acetaal
acetate,acetaat
acetates,acetaten
acetic,azijnzuur
acetone,aceton
acetylene,acetyleen
ache,pijn
ached,deed pijn
aches,pijnen
achievable,haalbare
achieve,bereiken
achieved,bereikt
achievement,prestatie
achievements,verwezenlijkingen
achiever,bereiker
achievers,presteerders
achieves,behaalt
achieving,bereiken
aching,pijnlijke
achingly,achingly
achings,achings
achromatic,achromatisch
achy,pijnlijke
acid,zuur
acidic,zure
acidification,verzuring
acidified,aangezuurd
acidify,verzuren
acidifying,verzurende
acidity,zuurheid
acidly,bijtend
acidophiles,acidofiel
acidrain,zure regen
acids,zuren
acknowledge,erkennen
acknowledged,erkend
acknowledgement,erkenning
acknowledgements,bevestigingen
acknowledges,erkent
acknowledging,erkennen
acknowledgment,erkenning
acknowledgments,bevestigingen
acme,toppunt
acne,acne
acolyte,misdienaar
acolytes,acolieten
aconite,monnikskap
acorn,eikel
acorns,eikels
acoustic,akoestisch
acoustical,akoestische
acoustically,akoestisch
acoustics,akoestiek
acquaint,bekend maken
acquaintance,kennis
acquaintances,bekenden
acquainted,kennis gemaakt
acquainting,kennis te laten maken
acquaints,acquaints
acquiesce,berusten
acquiesced,gedoogd
acquiescence,berusting
acquiescent,toegevend
acquiescing,berusting
acquire,verkrijgen
acquired,verwierf
acquirer,verwerver
acquirers,acquirers
acquires,verwerft
acquiring,verwerven
acquisition,acquisitie
acquisitions,overnames
acquisitive,hebzuchtig
acquisitiveness,acquisitiveness
acquit,vrijspreken
acquited,vrijgesproken
acquites,acquites
acquits,vrijspreekt
acquittal,vrijspraak
acquittals,vrijspraken
acquittance,vrijspraak
acquitted,vrijgesproken
acquitting,vrijspraak
acre,acre
acreage,oppervlakte
acres,acres
acrid,bijtend
acrimonious,bitter
acrimoniously,venijnig
acrimony,scherpheid
acrobat,acrobaat
acrobatic,acrobatisch
acrobatics,acrobatiek
acrobats,acrobaten
acronym,acroniem
acronyms,acroniemen
across,aan de overkant
acrostic,naamdicht
acrostics,acrostichons
acrylic,acryl
acrylics,acryl
act,handelen
acted,gehandeld
acting,acteren
actings,werkingen
actinides,actiniden
action,actie
actionable,actiegericht
actions,acties
activate,activeren
activated,geactiveerd
activates,activeert
activating,activeren
activation,activering
activations,activeringen
activator,activator
activators,activators
active,actief
actively,actief
actives,actieven
activism,activisme
activist,activist
activists,activisten
activities,activiteiten
activity,activiteit
actor,acteur
actors,acteurs
actress,actrice
actresses,actrices
acts,acts
actual,werkelijk
actualisation,actualisatie
actualise,verwezenlijken
actualised,geactualiseerde
actualities,actualiteiten
actuality,actualiteit
actually,werkelijk
actuarial,actuariële
actuaries,actuarissen
actuary,actuaris
actuate,drijven
actuated,bediende
actuates,bedient
actuating,bedieningsorgaan
actuation,activering
actuator,aandrijver
actuators,actuators
acuity,scherpheid
acumen,scherpzinnigheid
acupuncture,acupunctuur
acupuncturist,acupuncteur
acupuncturists,acupuncturisten
acute,acuut
acutely,acuut
acuteness,scherpzinnigheid
acuter,scherpere
acutest,hevigste
acyclic,acyclische
adage,gezegde
adages,spreekwoorden
adagio,adagio
adam,Adam
adamant,onvermurwbaar
adamantly,onvermurwbaar
adapt,aanpassen
adaptability,aanpassingsvermogen
adaptable,aanpasbaar
adaptation,aanpassing
adaptations,aanpassingen
adapted,aangepast
adapter,adapter
adapters,adapters
adapting,aanpassing
adaptive,aangepaste
adaptively,aangepast
adaptivity,adaptiviteit
adaptor,adapter
adaptors,adapters
adapts,aanpast
add,toevoegen
added,toegevoegd
addenda,addenda
addendum,bijvoegsel
adder,adder
adders,adders
addict,verslaafde
addicted,verslaafd
addiction,verslaving
addictions,verslavingen
addictive,verslavend
addictiveness,addictiveness
addicts,verslaafden
adding,toe te voegen
addition,toevoeging
additional,extra
additionally,bovendien
additions,toevoegingen
additive,toevoeging
additively,additief
additives,toevoegsels
addle,bederven
addled,bedorven
addles,addles
addling,addling
address,adres
addressability,addressability
addressable,adresseerbare
addressed,aangesproken
addressee,geadresseerde
addressees,geadresseerden
addresses,adressen
addressing,aanpakken
adds,voegt
adduce,aanvoeren
adduced,aangevoerd
adduces,aanvoert
adducing,aanvoeren van
adelaide,adelaide
aden,aden
adenine,adenine
adenoid,adenoid
adenoids,adenoïden
adenoma,adenoom
adenomas,adenomen
adept,bedreven
adepts,adepten
adequacy,toereikendheid
adequate,voldoende
adequately,adequaat
adhere,aanhangen
adhered,gehecht
adherence,aanhankelijkheid
adherent,aanhanger
adherents,aanhang
adherer,adherer
adherers,adherers
adheres,hecht
adhering,hechtende
adhesion,adhesie
adhesions,verklevingen
adhesive,zelfklevend
adhesiveness,kleverigheid
adhesives,lijmen
adhoc,AD hoc
adiabatic,adiabatische
adiabatically,adiabatisch
adieu,Adieu
adieus,adieus
adieux,adieux
adios,adios
adipose,vet
adit,horizontale schacht
adjacency,nabijheid
adjacent,aangrenzend
adjacently,aangrenzend
adjectival,bijvoeglijk
adjective,bijvoeglijk naamwoord
adjectives,adjectieven
adjoin,grenzen aan
adjoined,aangesloten
adjoining,aangrenzende
adjoins,grenst
adjourn,verdagen
adjourned,verdaagd
adjourning,voorgekomen
adjournment,verdaging
adjourns,schorst
adjudge,toekennen
adjudged,verklaard
adjudges,adjudges
adjudicate,berechten
adjudicated,berecht
adjudicates,oordeelt
adjudicating,aanbestedende
adjudication,toewijzing
adjudications,adjudications
adjudicator,adjudicator
adjudicators,adjudicators
adjunct,toevoegsel
adjuncts,adjuncten
adjure,bezweren
adjust,aanpassen
adjustable,verstelbaar
adjusted,aangepaste
adjuster,regelaar
adjusting,aanpassen
adjustment,aanpassing
adjustments,aanpassingen
adjusts,aanpast
adjutant,adjudant
adlib,adlib
adlibs,adlibs
adman,reclametekstschrijver
admen,admen
admin,beheerder
administer,beheren
administered,toegediend
administering,toedienen
administers,beheert
administrate,administreren
administrated,toegediende
administrating,toedienen
administration,administratie
administrations,administraties
administrative,administratief
administratively,administratief
administrator,beheerder
administrators,administrators
admirable,bewonderenswaardig
admirably,bewonderenswaardig
admiral,admiraal
admirals,admiraals
admiration,bewondering
admire,bewonderen
admired,bewonderd
admirer,bewonderaar
admirers,bewonderaars
admires,bewondert
admiring,bewonderend
admiringly,bewonderend
admissibility,toelaatbaarheid
admissible,toelaatbaar
admission,toelating
admissions,opnames
admit,toegeven
admits,geeft toe
admittance,toelating
admittances,admittances
admitted,toegegeven
admittedly,toegegeven
admitting,toelaten
admix,vermengen
admixture,toevoegsel
admonish,vermanen
admonished,vermaand
admonishes,vermaant
admonishing,vermanende
admonishment,vermaning
admonition,vermaning
admonitions,vermaningen
admonitory,vermanend
ado,ophef
adobe,adobe
adolescence,adolescentie
adolescent,puber
adolescents,adolescenten
adonis,Adonis
adopt,adopteren
adopted,geadopteerd
adopter,adopter
adopting,aanneming
adoption,adoptie
adoptions,adopties
adoptive,aangenomen
adopts,keurt
adorable,aanbiddelijk
adorably,adorably
adoration,aanbidding
adore,dol zijn op
adored,aanbeden
adorer,aanbidder
adorers,aanbidders
adores,aanbidt
adoring,bewonderende
adoringly,adoringly
adorn,sieren
adorned,opgesmukt
adorning,optuigen
adornment,versiering
adornments,versieringen
adorns,versiert
adrenal,bijnier
adrenalin,adrenaline
adrenaline,adrenaline
adrift,drijvend
adroit,behendig
adroitly,handig
adroitness,behendigheid
adsorb,adsorberen
adsorbed,geadsorbeerd
adsorption,adsorptie
adulation,vleierij
adulatory,kruiperig
adult,volwassen
adulterate,vervalsen
adulterated,vervalste
adulterates,vervalst
adulterating,vervalsende
adulteration,vervalsing
adulterations,vervalsingen
adulterer,overspelige
adulterers,overspeligen
adulteress,echtbreekster
adulteresses,overspeelsters
adulterous,overspelig
adultery,overspel
adulthood,volwassenheid
adults,volwassenen
adumbrate,afschetsen
adumbrated,aangestipt
adumbrating,adumbrating
advance,van te voren
advanced,gevorderd
advancement,vordering
advancements,vooruitgang
advancer,voortbeweger
advances,voorschotten
advancing,oprukkende
advantage,voordeel
advantaged,bevoordeelde
advantageous,voordelig
advantageously,voordelig
advantages,voordelen
advent,komst
advents,komsten
adventure,avontuur
adventured,adventured
adventurer,avonturier
adventurers,avonturiers
adventures,avonturen
adventuring,adventuring
adventurism,avonturisme
adventurous,avontuurlijk
adventurously,avontuurlijk
adverb,bijwoord
adverbial,bijwoordelijk
adverbs,bijwoorden
adversarial,hoor en wederhoor
adversaries,tegenstanders
adversary,tegenstander
adverse,nadelige
adversely,nadelig
adversities,tegenslagen
adversity,tegenspoed
advert,advertentie
adverted,geattendeerd
advertise,adverteren
advertised,geadverteerd
advertisement,advertentie
advertisements,advertenties
advertiser,adverteerder
advertisers,adverteerders
advertises,adverteert
advertising,reclame
adverts,advertenties
advice,advies
advices,adviezen
advisability,raadzaamheid
advisable,raadzaam
advise,adviseren
advised,adviseerde
advisedly,met opzet
adviser,raadgever
advisers,adviseurs
advises,adviseert
advising,adviseren
advisory,adviserend
advocacy,voorspraak
advocate,pleiten voor
advocated,bepleit
advocates,voorstanders
advocating,pleiten voor
adze,dissel
aegean,egeïsche
aegina,aegina
aegis,aegis
aeolian,aeolian
aeon,eeuwigheid
aeons,eonen
aerate,beluchten
aerated,cellenbeton
aerates,aerates
aerating,beluchten
aeration,beluchting
aerator,beluchter
aerial,antenne
aerially,aerially
aerials,antennes
aerify,aerify
aerobatic,aerobatic
aerobatics,kunstvluchten
aerobe,aerobe
aerobes,aëroben
aerobic,aerobic
aerobically,aëroob
aerobics,aerobics
aerobraking,aerobraking
aerodrome,vliegterrein
aerodromes,luchtvaartterreinen
aerodynamic,aërodynamisch
aerodynamically,aerodynamisch
aerodynamics,aërodynamica
aerofoil,aerofoil
aerofoils,aerofoils
aeronaut,luchtschipper
aeronautic,luchtvaart
aeronautical,luchtvaart
aeronautics,luchtvaart
aeroplane,vliegtuig
aeroplanes,vliegtuigen
aerosol,aërosol
aerosols,aërosolen
aerospace,ruimte
aesop,aesop
aesthete,aestheticus
aesthetes,estheten
aesthetic,aesthetisch
aesthetically,aesthetisch
aestheticism,esthetiek
aestheticsy,aestheticsy
afar,in de verte
affability,minzaamheid
affable,minzaam
affably,minzaam
affair,affaire
affairs,zaken
affect,aantasten
affectation,aanstellerij
affectations,affectations
affected,getroffen
affectedly,geaffecteerd
affecting,invloed
affection,genegenheid
affectionate,hartelijk
affectionately,toegenegen
affections,affecties
affective,affectieve
affects,beïnvloedt
afferent,afferente
affidavit,beëdigde verklaring
affidavits,beëdigde verklaringen
affiliate,filiaal
affiliated,aangesloten
affiliates,filialen
affiliating,aanverwante
affiliation,aansluiting
affiliations,voorkeuren
affine,affine
affinities,affiniteiten
affinity,affiniteit
affirm,bevestigen
affirmation,bevestiging
affirmations,affirmaties
affirmative,bevestigend
affirmatively,bevestigend
affirmed,bevestigde
affirming,bevestigen
affirms,bevestigt
affix,affix
affixed,aangebracht
affixes,affixen
affixing,aanbrengen
afflict,teisteren
afflicted,geteisterd
afflicting,teistert
affliction,bezoeking
afflictions,aandoeningen
afflicts,teistert
affluence,rijkdom
affluent,zijrivier
afflux,toevloed
afford,veroorloven
affordability,betaalbaarheid
affordable,betaalbare
afforded,verschafte
affording,bieden
affords,biedt
afforestation,bebossing
afforested,bebost
affray,vechtpartij
affront,belediging
affronted,beledigd
affronts,beledigingen
afghan,Afghaans
afghani,Afghaans
afghans,afghanen
afield,weg
afire,een vuur
aflame,in vuur en vlam
afloat,drijvend
afoot,te voet
aforementioned,voornoemd
aforesaid,voornoemd
aforethought,voorbedacht
afraid,bang
afresh,opnieuw
africa,Afrika
african,Afrikaanse
africans,afrikanen
afro,afro
afros,afros
aft,achteruit
after,na
afterbirth,nageboorte
aftercare,nazorg
aftereffect,na-effect
aftereffects,nawerking
afterglow,nagloed
afterlife,het hiernamaals
afterlives,Afterlives
aftermath,nasleep
afternoon,middag
afternoons,middagen
aftershave,aftershave
aftershocks,naschokken
aftertaste,nasmaak
afterthought,nadere overweging
afterthoughts,afterthoughts
afterward,nadien
afterwards,daarna
aga,aga
again,nog een keer
against,tegen
agakhan,agakhan
agape,met open mond
agar,agar
agaragar,agar-agar
agave,agave
agaves,agaves
age,leeftijd
aged,oud
ageing,veroudering
ageings,verouderingen
ageism,leeftijdsdiscriminatie
ageless,tijdloze
agencies,agentschappen
agency,agentschap
agenda,agenda
agendas,agenda
agendums,agendums
agent,agent
agents,agenten
ageold,eeuwenoude
ages,leeftijden
agglomerated,geagglomereerde
agglomerating,agglomererende
agglomeration,opeenhoping
agglomerations,agglomeraties
agglutinative,agglutinative
aggravate,verergeren
aggravated,verergerd
aggravates,verergert
aggravating,verzwarend
aggravation,verergering
aggravations,aggravations
aggregate,aggregaat
aggregated,geaggregeerde
aggregates,aggregaten
aggregating,aggregeren
aggregation,aggregatie
aggregations,samenvoegingen
aggression,agressie
aggressions,agressies
aggressive,agressief
aggressively,agressief
aggressiveness,agressiviteit
aggressor,agressor
aggressors,agressors
aggrieved,gekrenkt
aggrievedly,aggrievedly
aghast,ontzet
agile,behendig
agiler,agiler
agility,behendigheid
aging,veroudering
agings,agings
agio,agio
agitate,agiteren
agitated,opgewonden
agitatedly,geagiteerd
agitates,ageert
agitating,agerende
agitation,agitatie
agitations,beroeringen
agitator,agitator
agitators,roerwerken
agitprop,agitprop
agleam,agleam
aglow,gloelend
agnostic,agnostisch
agnosticism,agnosticisme
agnostics,agnostici
ago,geleden
agog,verlangend
agonies,agonies
agonise,pijnigen
agonised,gekweld
agonises,agonises
agonising,pijnlijke
agonisingly,tergend
agonist,agonist
agonists,agonisten
agony,doodsangst
agora,agora
agoraphobia,agorafobie
agoraphobic,pleinvrees
agouti,agouti
agrarian,agrarisch
agree,mee eens
agreeable,aangenaam
agreeableness,aangenaamheid
agreeably,prettig
agreed,Akkoord
agreeing,akkoord
agreement,overeenkomst
agreements,overeenkomsten
agrees,eens
agribusiness,agribusiness
agricultural,agrarisch
agriculturalist,landbouwer
agriculturalists,landbouwers
agriculturally,landbouwkundig
agriculture,landbouw
agrimony,agrimonie
agrochemical,agrochemische
agrochemicals,landbouwchemicaliën
agronomist,agronoom
agronomists,agronomen
agronomy,agronomie
aground,aan de grond
ague,huivering
ah,Ah
aha,ha
ahead,verder
ahem,ahum
ahoy,ahoi
aid,steun
aide,assistent
aided,aided
aidedecamp,aidedecamp
aider,aider
aiders,hulpverleners
aides,aides
aidesdecamp,aidesdecamp
aiding,helpen
aids,AIDS
ail,ail
aileron,aileron
ailerons,rolroeren
ailing,ziekelijk
ailment,kwaal
ailments,kwalen
ails,scheelt
aim,doel
aimed,gericht
aimer,aimer
aiming,het richten
aimless,doelloos
aimlessly,doelloos
aimlessness,doelloosheid
aims,doelstellingen
aint,aint
air,lucht
airbase,lucht basis
airborne,in de lucht
airbrush,airbrush
airbus,luchtvliegtuig
airconditioned,airconditioned
airconditioner,airco
airconditioning,airconditioning
aircraft,vliegtuig
aircrew,vliegtuigbemanning
aircrews,vliegtuigbemanningen
aire,aire
aired,gelucht
airfield,vliegveld
airfields,vliegvelden
airflow,luchtstroom
airforce,luchtmacht
airframe,casco
airframes,casco
airgun,luchtgeweer
airier,luchtiger
airiest,airiest
airily,luchtig
airiness,luchtigheid
airing,luchten
airings,luchten
airless,luchtledig
airlift,luchtbrug
airlifted,airlifted
airlifting,luchttransport
airlifts,airlifts
airline,vliegmaatschappij
airliner,passagiersvliegtuig
airliners,lijnvliegtuigen
airlines,luchtvaartmaatschappijen
airlock,luchtsluis
airlocks,luchtsluizen
airmail,luchtpost
airman,vlieger
airmen,vliegers
airplane,vliegtuig
airplay,airplay
airport,luchthaven
airports,vliegvelden
airraid,luchtaanval
airs,airs
airship,luchtschip
airships,luchtschepen
airsick,luchtziek
airsickness,luchtziekte
airspace,luchtruim
airstream,luchtstroom
airstrip,landingsbaan
airstrips,landingsbanen
airtight,luchtdicht
airtime,airtime
airwave,Airwave
airwaves,airwaves
airway,luchtweg
airways,luchtwegen
airworthiness,luchtwaardigheid
airworthy,luchtwaardig
airy,luchtig
aisle,gangpad
aisles,gangpaden
aitches,Aitches
ajar,op een kier
akimbo,met de handen
akin,verwant
ala,ala
alabama,Alabama
alabaster,albast
alacarte,alacarte
alack,o wee
alacrity,bereidwilligheid
aladdin,aladdin
alanine,alanine
alarm,alarm
alarmed,gealarmeerd
alarming,zorgwekkend
alarmingly,verontrustend
alarmism,paniekzaaierij
alarmist,alarmist
alarms,alarm
alas,Helaas
alaska,Alaska
alaskan,alaskan
alb,albe
albania,Albanië
albany,albany
albatross,albatros
albatrosses,albatrossen
albeit,ofschoon
albinism,albinisme
albino,albino
album,album
albumen,eiwit
albumin,albumine
albums,albums
alchemical,alchemistische
alchemist,alchimist
alchemists,alchemisten
alchemy,alchimie
alcohol,alcohol
alcoholic,alcoholisch
alcoholics,alcoholisten
alcoholism,alcoholisme
alcohols,alcoholen
alcove,prieel
alcoves,nissen
aldehyde,aldehyde
aldehydes,aldehyden
alder,els
alderman,wethouder
aldermen,wethouders
aldrin,Aldrin
ale,ale
alehouse,bierhuis
alembic,distilleerkolf
alert,alarm
alerted,gewaarschuwd
alerting,alerting
alertly,waakzaam
alertness,waakzaamheid
alerts,waarschuwingen
ales,ales
alfalfa,luzerne
alfatah,alfatah
alga,alge
algae,zeewier
algal,algen
algebra,algebra
algebraic,algebraïsch
algebraical,algebraïsche
algebraically,algebraïsch
algebraist,algebraist
algebras,algebra
algeria,Algerije
algerian,Algerijns
algiers,Algiers
algorithm,algoritme
algorithmic,algoritmische
algorithmically,algoritmisch
algorithms,algoritmen
alias,alias
aliases,aliassen
alibaba,Alibaba
alibi,alibi
alibis,alibi
alien,vreemdeling
alienate,vervreemden
alienated,vervreemd
alienates,vervreemdt
alienating,vervreemdende
alienation,vervreemding
aliened,aliened
aliening,aliening
aliens,buitenaardse wezens
alight,uitstappen
alighted,stapten
alighting,landing
alights,neerstrijkt
align,richten
aligned,uitgelijnd
aligning,het richten
alignment,opstelling
alignments,uitlijningen
aligns,uitgelijnd
alike,gelijk
alimentary,voedings
alimony,alimentatie
aline,aline
alined,alined
alines,alines
alining,alining
aliphatic,alifatische
aliquot,evenmatig
aliquots,hoeveelheden
alive,levend
alkali,alkali
alkalic,alkalische
alkaline,alkalisch
alkalinity,alkaliteit
alkalis,logen
alkalise,alkalisch te
alkaloid,alkaloid
alkaloids,alkaloïden
alkanes,alkanen
alkyl,alkyl
all,alle
allay,verminderen
allayed,weggenomen
allaying,allaying
allays,allays
allegation,bewering
allegations,beschuldigingen
allege,beweren
alleged,beweerde
allegedly,naar verluidt
alleges,beweert
allegiance,trouw
allegiances,loyaliteiten
alleging,ontleend
allegorical,allegorisch
allegorically,allegorisch
allegories,allegorieën
allegory,allegorie
allegri,allegri
allegro,allegro
allele,allel
alleles,allelen
allelic,allelische
allergen,allergeen
allergens,allergenen
allergic,allergisch
allergies,allergieën
allergy,allergie
alleviate,verlichten
alleviated,verlicht
alleviates,Verlicht
alleviating,verlichten
alleviation,verlichting
alleviations,versoepelingen
alley,steeg
alleys,steegjes
alleyway,gang
alleyways,steegjes
alliance,bondgenootschap
alliances,allianties
allied,geallieerd
allies,bondgenoten
alligator,alligator
alligators,alligators
